SpeciesID,Order,Family,Genus,Taxon,FFG
MCYA,Coleoptera,Elmidae,Microcylloepus,Coleoptera,CollectorGatherer
MCYL,Coleoptera,Elmidae,Microcylloepus,Coleoptera,CollectorGatherer
CERL,Diptera,Ceratopogonidae,,Diptera,Predator
CHIA,Diptera,Chironomidae,,Diptera,
CHIP,Diptera,Chironomidae,,Diptera,
CHIL,Diptera,Chironomidae,,Diptera,
HEMR,Diptera,Empididae,Hemerodromia,Diptera,Predator
MARU,Diptera,Psychodidae,Maruina,Diptera,CollectorGatherer
SIMM,Diptera,Simuliidae,Simulium,Diptera,CollectorFilterer
SIUP,Diptera,Simuliidae,Simulium,Diptera,CollectorGatherer
EUPA,Diptera,Stratiomyidae,Euparyphus,Diptera,CollectorGatherer
TABS,Diptera,Tabanidae,Tabanus,Diptera,Predator
TIPL,Diptera,Tipulidae,,Diptera,Shredder
ACLA,Ephemeroptera,Baetidae,Acentrella,Ephemeroptera,CollectorGatherer
BAEL,Ephemeroptera,Baetidae,Baetis,Ephemeroptera,CollectorGatherer
BASP,Ephemeroptera,Baetidae,Baetis,Ephemeroptera,CollectorGatherer
PARA,Ephemeroptera,Leptophlebiidae,Paraleptophlebia,Ephemeroptera,CollectorGatherer
PETL,Lepidoptera,Crambidae,Petrophila,Lepidoptera,Shredder
LUMB,Lumbriculida,Lumbriculidae,,Other,
MEGL,Megaloptera,Corydalidae,Corydalus,Megaloptera,Predator
HETA,Odonata,Calopterygidae,Hetaerina,Odonata,Predator
ARGI,Odonata,Coenagrionidae,Argia,Odonata,Predator
LIBE,Odonata,Libellulidae,,Odonata,Predator
CAPN,Plecoptera,Capniidae,,Plecoptera,Shredder
SWEL,Plecoptera,Chloroperlidae,Sweltza,Plecoptera,Predator
TRIA,Trichoptera,,,Trichoptera,
TRIP,Trichoptera,,,Trichoptera,
HELI,Trichoptera,Helicopsychidae,Helicopsyche,Trichoptera,ScraperGrazer
HYDE,Trichoptera,Hydropsychidae,Hydropsyche,Trichoptera,CollectorFilterer
LETR,Trichoptera,Hydroptilidae,Leucotrichia,Trichoptera,CollectorGatherer
OCHR,Trichoptera,Hydroptilidae,Ochrotrichia,Trichoptera,CollectorGatherer
CHIM,Trichoptera,Philopotamidae,Chimarra,Trichoptera,CollectorGatherer
POLL,Trichoptera,Polycentropodidae,Polycentropus,Trichoptera,Predator
RHYL,Trichoptera,Rhyacophilidae,Rhyacophila,Trichoptera,Predator
PLAN,Tricladida,Planariidae,Planaria,Other,
MITE,Trombidiformes,,,Other,Predator
